station,period,message_id,x,y,a,resources
Business FM,2024H1,38147,1,4,2,bfm.ru
Business FM,2024H1,38160,1,4,2,bfm.ru
Business FM,2024H1,39160,1,4,2,bfm.ru
Business FM,2024H1,39255,1,4,2,bfm.ru
Business FM,2024H1,39507,1,4,2,bfm.ru
Business FM,2024H1,41078,1,4,3,bfm.ru
Business FM,2024H1,41220,1,4,2,bfm.ru
Business FM,2026H1,62771,2,4,3,max.ru/bfm
Business FM,2026H1,62774,2,4,3,max.ru/bfm
Business FM,2026H1,62937,2,4,3,max.ru/bfm
Business FM,2026H1,62963,2,4,3,max.ru/bfm
Business FM,2026H1,63010,2,4,3,max.ru/bfm
Business FM,2026H1,63053,2,4,3,max.ru/bfm
Business FM,2026H1,63091,2,4,3,max.ru/bfm
Business FM,2026H1,63144,2,4,3,max.ru/bfm
Business FM,2026H1,63179,2,4,3,max.ru/bfm
Business FM,2026H1,63289,2,4,3,max.ru/bfm
Business FM,2026H1,63320,2,4,3,max.ru/bfm
Business FM,2026H1,63385,2,4,3,max.ru/bfm
Business FM,2026H1,63540,2,4,3,max.ru/bfm
Business FM,2026H1,63555,2,4,3,max.ru/bfm
Business FM,2026H1,63589,1,4,4,bfm.ru
Business FM,2026H1,63589,2,4,4,max.ru/bfm
Business FM,2026H1,63948,2,4,3,max.ru/bfm
Business FM,2026H1,64112,1,4,4,bfm.ru
Business FM,2026H1,64112,2,4,4,max.ru/bfm
Business FM,2026H1,64126,2,4,3,max.ru/bfm
Business FM,2026H1,64227,2,4,3,max.ru/bfm
Business FM,2026H1,64236,2,4,3,max.ru/bfm
Business FM,2026H1,64318,2,4,3,max.ru/bfm
Business FM,2026H1,64442,2,4,3,max.ru/bfm
Business FM,2026H1,64572,2,4,3,max.ru/bfm
Business FM,2026H1,64580,2,4,3,max.ru/bfm
Business FM,2026H1,64712,2,4,3,max.ru/bfm
Business FM,2026H1,64737,2,4,3,max.ru/bfm
Business FM,2026H1,64764,2,4,3,max.ru/bfm
Business FM,2026H1,64768,2,4,3,max.ru/bfm
Business FM,2026H1,64823,2,4,3,max.ru/bfm
Business FM,2026H1,64961,2,4,3,max.ru/bfm
Business FM,2026H1,65104,2,4,3,max.ru/bfm
Business FM,2026H1,65130,2,4,3,max.ru/bfm
Business FM,2026H1,65150,2,4,3,max.ru/bfm
Business FM,2026H1,65495,2,4,3,max.ru/bfm
Business FM,2026H1,65496,2,4,3,max.ru/bfm
Business FM,2026H1,65900,2,4,3,max.ru/bfm
Business FM,2026H1,65929,1,4,4,bfm.ru
Business FM,2026H1,65929,2,4,4,max.ru/bfm
Business FM,2026H1,65971,2,4,3,max.ru/bfm
Business FM,2026H1,66070,2,4,3,max.ru/bfm
Business FM,2026H1,66082,2,1,3,max.ru/bfm
Business FM,2026H1,66105,2,4,3,max.ru/bfm
Business FM,2026H1,66216,2,4,3,max.ru/bfm
Business FM,2026H1,66414,2,4,3,max.ru/bfm
Business FM,2026H1,66425,1,1,4,bfm.ru
Business FM,2026H1,66425,2,1,4,max.ru/bfm
Business FM,2026H1,66485,2,4,3,max.ru/bfm
Business FM,2026H1,66526,2,4,3,max.ru/bfm
Business FM,2026H1,66598,2,4,3,max.ru/bfm
Business FM,2026H1,66607,2,4,3,max.ru/bfm
Business FM,2026H1,66644,2,4,3,max.ru/bfm
Business FM,2026H1,66723,2,4,3,max.ru/bfm
Business FM,2026H1,66972,2,4,3,max.ru/bfm
Business FM,2026H1,66984,2,2,3,max.ru/bfm
Business FM,2026H1,67051,2,4,3,max.ru/bfm
Business FM,2026H1,67157,2,4,3,max.ru/bfm
Business FM,2026H1,67252,2,4,3,max.ru/bfm
Business FM,2026H1,67326,2,4,3,max.ru/bfm
Business FM,2026H1,67353,2,4,3,max.ru/bfm
Business FM,2026H1,67518,2,4,3,max.ru/bfm
Business FM,2026H1,67589,2,4,3,max.ru/bfm
Business FM,2026H1,67727,2,4,3,max.ru/bfm
Business FM,2026H1,67847,2,2,3,max.ru/bfm
Business FM,2026H1,67856,2,2,3,max.ru/bfm
Business FM,2026H1,67985,2,4,3,max.ru/bfm
Business FM,2026H1,68044,2,1,3,max.ru/bfm
Business FM,2026H1,68055,2,4,3,max.ru/bfm
Business FM,2026H1,68101,2,4,3,max.ru/bfm
Business FM,2026H1,68130,2,4,3,max.ru/bfm
Business FM,2026H1,68188,2,4,3,max.ru/bfm
Business FM,2026H1,68248,2,4,3,max.ru/bfm
Business FM,2026H1,68594,2,4,3,max.ru/bfm
Business FM,2026H1,68689,2,4,3,max.ru/bfm
Business FM,2026H1,68732,2,4,3,max.ru/bfm
Business FM,2026H1,68783,2,4,3,max.ru/bfm
Business FM,2026H1,68866,2,4,3,max.ru/bfm
Business FM,2026H1,68886,2,2,3,max.ru/bfm
Business FM,2026H1,68930,2,1,3,max.ru/bfm
Business FM,2026H1,69099,2,4,3,max.ru/bfm
Business FM,2026H1,69100,2,4,3,max.ru/bfm
Business FM,2026H1,69159,2,4,3,max.ru/bfm
Business FM,2026H1,69203,2,4,3,max.ru/bfm
Business FM,2026H1,69354,2,1,3,max.ru/bfm
Business FM,2026H1,69424,2,1,3,max.ru/bfm
Business FM,2026H1,69457,2,4,3,max.ru/bfm
Business FM,2026H1,69499,2,4,3,max.ru/bfm
Business FM,2026H1,69738,2,4,3,max.ru/bfm
Business FM,2026H1,69822,2,4,3,max.ru/bfm
Business FM,2026H1,70008,2,4,3,max.ru/bfm
Business FM,2026H1,70046,2,4,3,max.ru/bfm
